loan_id,sector,ead,default_date,recovery_rate
49124,Industrials,178550752,1/11/2020,0.37650001
25749,Energy,129342600,1/05/2020,0.478799999
17424,Utilities,111527872,1/07/2017,0.690999985
5608,Energy,107779928,1/02/2022,0.171499997
44903,Financials,106865496,1/04/2020,0.629999995
41664,Financials,95319808,1/06/2020,0.317499995
35931,Real_Estate,93402928,1/08/2022,0.520799994
29239,Utilities,85514880,1/04/2020,0.347499996
27075,Financials,80310768,1/04/2020,0.656499982
24988,Technology,69623432,1/04/2023,0.368499994
42895,Telecom,66952104,1/05/2020,0.578599989
28259,Industrials,63661500,1/04/2028,0.604300022
4770,Financials,60991900,1/07/2026,0.509599984
36467,Industrials,57012672,1/02/2023,0.298900008
40163,Utilities,56884200,1/03/2017,0.440200001
8978,Real_Estate,54783184,1/06/2020,0.647700012
13877,Real_Estate,49797640,1/04/2020,0.73269999
23640,Financials,48913096,1/05/2020,0.31220001
45230,Energy,48550064,1/05/2020,0.560400009
24262,Utilities,48533476,1/11/2020,0.43779999
47669,Real_Estate,48045324,1/02/2024,0.38530001
41890,Telecom,46737176,1/06/2022,0.392500013
49304,Financials,46377396,1/08/2020,0.707499981
47861,Real_Estate,46128904,1/06/2020,0.718299985
21039,Technology,45044344,1/03/2021,0.389600009
19387,Financials,44297336,1/10/2021,0.636799991
9311,Utilities,44077200,1/04/2020,0.520699978
36875,Telecom,44060436,1/12/2025,0.29429999
10114,Utilities,43112352,1/09/2020,0.583199978
27468,Real_Estate,41074856,1/06/2019,0.564999998
8008,Telecom,40920012,1/04/2020,0.436300009
477,Financials,40173692,1/06/2020,0.503300011
36793,Financials,39088140,1/06/2020,0.441100001
44666,Utilities,38968396,1/06/2020,0.448900014
40799,Energy,37641844,1/04/2020,0.444700003
9496,Real_Estate,37405924,1/06/2020,0.670599997
29692,Energy,35986688,1/06/2020,0.750999987
6578,Financials,34911036,1/09/2023,0.385699987
33713,Industrials,34777176,1/09/2019,0.584200025
44096,Technology,34529800,1/06/2020,0.109499998
6408,Financials,34508148,1/06/2020,0.321700007
43145,Utilities,34491520,1/02/2022,0.326200008
48903,Energy,34213324,1/09/2021,0.511300027
397,Real_Estate,34050080,1/04/2020,0.55400002
22853,Real_Estate,34036568,1/04/2020,0.353700012
49704,Financials,33930284,1/11/2024,0.690299988
14809,Industrials,33815220,1/10/2028,0.511200011
28180,Financials,33405038,1/04/2020,0.406699985
